model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 31B,Stochastic,Uncertainty,Expansion,3,0.2678758169934641,0.08091272949090952,0.20833333333333334,0.36,22.0,66,18,True
Gemma 4 31B,Stochastic,Uncertainty,Temporal,3,0.060163398692810455,0.019201758991791055,0.041666666666666664,0.08,22.0,66,4,True
Gemma 4 31B,Stochastic,Uncertainty,Any explicit,3,0.5899673202614379,0.04918954204943562,0.5416666666666666,0.64,22.0,66,39,True
Gemma 4 31B,Greedy,Mechanical,Comparison,1,0.16666666666666666,,0.16666666666666666,0.16666666666666666,126.0,126,21,False
Gemma 4 31B,Greedy,Mechanical,Contingency,1,0.46825396825396826,,0.46825396825396826,0.46825396825396826,126.0,126,59,False
Gemma 4 31B,Greedy,Mechanical,Expansion,1,0.29365079365079366,,0.29365079365079366,0.29365079365079366,126.0,126,37,False
Gemma 4 31B,Greedy,Mechanical,Temporal,1,0.12698412698412698,,0.12698412698412698,0.12698412698412698,126.0,126,16,False
Gemma 4 31B,Greedy,Mechanical,Any explicit,1,0.7222222222222222,,0.7222222222222222,0.7222222222222222,126.0,126,91,False
Gemma 4 31B,Greedy,Testimony,Comparison,1,0.16957605985037408,,0.16957605985037408,0.16957605985037408,401.0,401,68,False
Gemma 4 31B,Greedy,Testimony,Contingency,1,0.11221945137157108,,0.11221945137157108,0.11221945137157108,401.0,401,45,False
Gemma 4 31B,Greedy,Testimony,Expansion,1,0.24189526184538654,,0.24189526184538654,0.24189526184538654,401.0,401,97,False
Gemma 4 31B,Greedy,Testimony,Temporal,1,0.18453865336658354,,0.18453865336658354,0.18453865336658354,401.0,401,74,False
Gemma 4 31B,Greedy,Testimony,Any explicit,1,0.5486284289276808,,0.5486284289276808,0.5486284289276808,401.0,401,220,False
Gemma 4 31B,Greedy,SocialJudgment,Comparison,1,0.2463768115942029,,0.2463768115942029,0.2463768115942029,69.0,69,17,False
Gemma 4 31B,Greedy,SocialJudgment,Contingency,1,0.10144927536231885,,0.10144927536231885,0.10144927536231885,69.0,69,7,False
